           ******* TWO SAMPLE TEST ******
    
        TITLE : L500 Seyferts                                                                   
    
        DATA SET : two_sampl
        VARIABLE : L500     
        TESTED GROUPS ARE Sy1       AND Sy2      
     
      # OF DATA POINTS : 261, # OF UPPER LIMITS : 138
      # OF DATA POINTS IN GROUP I  : 125
      # OF DATA POINTS IN GROUP II : 136
     
 DISTINCT FAILURES         R(I)            M(I)        M(I)/R(I)         H(I)
              41.443         -0.071
              41.429         -0.539
              41.422         -0.086
              41.405         -0.100
              41.403         -0.115
              41.401         -0.561
              41.399         -0.561
              41.393         -0.561
              41.388         -0.131
              41.374         -0.569
              41.361         -0.569
              41.361         -0.569
              41.350         -0.147
              41.349         -0.578
              41.349         -0.578
              41.346         -0.578
              41.345         -0.578
              41.345         -0.578
              41.337         -0.164
              41.328         -0.183
              41.302         -0.596
              41.283         -0.596
              41.272         -0.201
              41.249         -0.605
              41.247         -0.605
              41.222         -0.605
              41.216         -0.605
              41.171         -0.605
              41.169         -0.605
              41.160         -0.605
              41.146         -0.223
              41.133         -0.617
              41.118         -0.617
              41.101         -0.247
              41.099         -0.271
              41.060         -0.296
              41.034         -0.654
              41.032         -0.654
              41.009         -0.654
              41.008         -0.654
              40.967         -0.654
              40.927         -0.654
              40.907         -0.654
              40.907         -0.325
              40.897         -0.358
              40.867         -0.687
              40.829         -0.687
              40.826         -0.687
              40.823         -0.687
              40.752         -0.687
              40.737         -0.687
              40.733         -0.398
              40.722         -0.711
              40.712         -0.711
              40.694         -0.711
              40.623         -0.711
              40.617         -0.711
              40.610         -0.711
              40.599         -0.711
              40.554         -0.711
              40.525         -0.711
              40.257         -0.711
              40.029         -0.711
              39.975         -0.711
          TEST STATISTIC        =       1.181
          PROBABILITY           =       0.2376

     
        PETO & PRENTICE GENERALIZED WILCOXON TEST
     
          WW  =           4.800
          VAR =          16.106
     
             

               T(I)         SCORE(I)
              43.264          0.992
              43.122          0.000
              42.821          0.000
              42.814          0.969
              42.683         -0.019
              42.646          0.000
              42.613          0.919
              42.588          0.938
              42.559          0.000
              42.550          0.884
              42.519          0.914
              42.512          0.000
              42.510          0.899
              42.510          0.000
              42.508          0.824
              42.494          0.000
              42.463          0.867
              42.454          0.000
              42.452          0.776
              42.423          0.000
              42.410         -0.083
              42.406          0.826
              42.401          0.818
              42.392         -0.190
              42.374          0.802
              42.369         -0.103
