HRS_1	CGCG	VCC	UGC	NGC	IC	Dist_Mpc	Type	E_BV	a	b	pa	FUVasy	e_FUVasy	NUVasy	e_NUVasy	logMstart	Flag12	S12	err12	Flag22	S22	err22	Flag100	S100	err100	Flag160	S160	err160	Flag250	S250	err_tot250	Flag350	S350	err_tot350	Flag500	S500	err_tot500	Npix250	Npix350	Npix500	err_inst250	err_inst350	err_inst500	err_conf250	err_conf350	err_conf500	err_sky250	err_sky350	err_sky500	Note
47	156064	0	6352	3629	0	21.53	8	0.018	96.18	68.04	65	14.771	0.051	14.47	0.03	9.11	1	60.58	2.51	1	57.79	11.57	1	2.65E+00	4.65E-01	1	3.16E+00	5.09E-01	1	1820	131.1	1	919.8	83	1	371.7	42.7	570	324	142	18.1	8.9	7	39.7	32.7	23.7	123.6	75.8	34.8	-
48	268021	0	6360	3631	0	16.5	7	0.016	210.42	200.76	118	13.166	0.05	12.869	0.03	9.92	1	1294.41	18.17	1	1119.7	32.82	1	2.99E+01	3.06E+00	1	3.83E+01	3.12E+00	1	19908	744.6	1	8725.4	700.4	1	3243.1	358.9	3688	2074	922	33.8	23.2	18.2	101	82.6	60.4	737	695.1	353.4	-
49	39130	0	6368	3640	0	17.87	0	-99.99	35.82	35.82	0	18.163	0.105	15.962	0.041	10.7	1	61.54	3.57	1	30.16	7.46	0	2.61E-01	0.00E+00	0	2.31E-01	0.00E+00	0	79.3	0	0	59.3	0	0	35	0	111	62	27	3	2.6	2	17.5	14.6	10.3	19.6	13	5.1	-
50	96037	0	6396	3655	0	21.43	7	0.025	76.33	52.8	30	15.391	0.055	14.75	0.03	9.87	1	773.04	6.39	1	755.28	22.38	1	2.10E+01	1.08E+00	1	2.21E+01	1.14E+00	1	9178.2	87.6	1	3560.9	46.9	1	1120.7	36.7	352	197	86	22.3	12.5	7.5	31.2	25.5	18.4	78.7	37.4	30.9	-
51	96038	0	6405	3659	0	18.56	11	0.019	86.9	61.96	55	-99.99	-99.99	14.838	0.031	9.21	1	144.26	3.41	1	128.9	11.06	1	4.54E+00	4.23E-01	1	5.00E+00	5.82E-01	1	2805.4	106.4	1	1361.5	95.6	1	546.3	30.8	471	265	118	11.7	8.8	6.7	36.1	29.5	21.6	99.4	90.5	20.9	-
52	268030	0	6406	3657	0	17.2	7	0.017	60.9	54.18	160	15.222	0.055	15.171	0.034	9.11	1	40.93	1.69	1	26.31	2.67	1	7.83E-01	2.74E-01	1	1.30E+00	2.37E-01	1	618.9	46.8	1	276	43.7	1	111.5	20.7	286	159	70	8.4	6.6	5.5	28.1	22.9	16.6	36.5	36.7	11	-
53	67071	0	6420	3666	0	15.14	7	0.032	183.54	50.4	95	15.145	0.05	14.682	0.03	9.49	1	293.81	5.36	1	240.51	16.3	1	8.76E+00	7.50E-01	1	1.08E+01	8.29E-01	1	5965.1	184.2	1	2852.4	134.2	1	1126.2	54.3	805	454	206	17	11.4	8.9	47.2	38.7	28.5	177.3	128	45.4	-
54	96045	0	6445	3681	0	17.77	6	-99.99	94.5	75.18	165	15.106	0.24	14.78	0.031	9.87	1	101.2	3.65	1	68.98	8.75	1	2.82E+00	5.77E-01	1	3.08E+00	5.37E-01	1	2132.9	126	1	962.6	65.8	1	362.7	39.8	618	351	156	11.8	9.1	7.3	41.3	34	24.8	118.4	55.6	30.3	-
55	96047	0	6453	3684	0	16.54	6	0.026	121.38	84	125	14.599	0.057	14.208	0.03	-99.99	1	317.89	8.41	1	267.68	24.15	1	7.74E+00	7.68E-01	1	1.14E+01	7.69E-01	1	5887	161.6	1	2656.5	146.2	1	982.4	67.7	890	500	222	15.7	10.9	9	49.6	40.6	29.6	153	140	60.2	-
56	291072	0	6458	3683	0	24.4	7	0.015	82.32	64.87	128	16.597	0.062	15.94	0.03	10.2	1	1119.49	7.12	1	1143.23	23.61	1	2.89E+01	1.50E+00	1	3.01E+01	1.60E+00	1	12586.1	107.2	1	4741.2	78.6	1	1537	38	465	262	115	40.1	18.8	10.6	35.9	29.4	21.3	92.7	70.4	29.6	-
57	96049	0	6460	3686	0	16.51	6	0.024	133.98	104.16	25	14.378	0.051	13.912	0.03	9.81	1	566	14.03	1	537.22	18.94	1	1.24E+01	1.11E+00	1	1.80E+01	1.25E+00	1	9835.9	250	1	4221.3	150.1	1	1515.8	66.1	1220	686	305	18.4	12.6	10.1	58.1	47.5	34.7	242.5	141.8	55.3	-
58	96050	0	6464	3691	0	15.24	5	0.026	52.65	41.62	30	15.523	0.065	15.151	0.03	8.94	1	60.34	3.23	1	53.52	7.77	1	2.10E+00	1.94E-01	1	2.45E+00	1.55E-01	1	1325.8	32.3	3	613.1	30.7	3	229.3	17.8	193	109	48	7.1	5.4	4.1	23.1	19	13.8	21.5	23.5	10.4	*
59	67084	0	6474	3692	0	24.53	5	0.032	132.37	48.45	95	16.121	0.052	15.556	0.03	9.96	1	135.72	5.95	1	97.8	14.75	1	3.80E+00	3.95E-01	1	5.62E+00	4.31E-01	1	3309	166.1	1	1664.8	125.3	1	670.7	52.2	560	316	141	13.1	9.2	7.2	39.3	32.3	23.6	160.8	120.7	46	-
60	268051	0	6547	3729	0	15.14	3	0.011	118.44	80.22	15	15.58	0.05	14.971	0.03	9.93	1	361.47	8.01	1	459.15	18.84	1	7.74E+00	9.15E-01	1	1.05E+01	7.72E-01	1	5639.8	115.8	1	2427.5	86.5	1	864	43.2	830	466	206	16.6	11.2	8.7	47.9	39.2	28.5	104.1	76.3	31.2	-
61	292009	0	6575	0	0	17.39	8	0.015	82.76	24.7	171	15.885	0.071	15.536	0.038	8.54	1	16.57	1.45	1	18.73	4.67	1	7.00E-01	1.21E-01	1	9.37E-01	1.50E-01	1	592.9	35	1	324.1	30	1	127.2	20	181	102	46	6.6	5	4.3	22.4	18.3	13.5	26	23.2	14.1	-
62	186012	0	6577	3755	0	22.44	7	0.025	132.72	57.96	115	14.775	0.051	14.483	0.03	9.11	1	63.08	16.37	0	0	69.7	1	2.73E+00	4.98E-01	1	3.53E+00	5.28E-01	1	2171.2	118.3	1	1188.1	80.8	1	535.5	46.8	670	379	170	13.2	9.4	7.8	43.1	35.3	25.9	109.4	72.1	38.2	-
63	268063	0	6579	3756	0	18.41	6	0.011	175.14	87.78	179	14.879	0.05	14.399	0.03	9.94	1	310.17	8.49	1	239.16	36.62	1	6.47E+00	1.15E+00	1	1.23E+01	1.34E+00	1	7391.9	245.3	1	3604.1	205.5	1	1423.7	90	1339	746	338	19.1	13.3	10.8	60.8	49.5	36.6	236.8	199	81.5	-
64	292017	0	6629	3795	0	17.33	7	0.014	92.12	48.41	53	-99.99	-99.99	16.188	0.03	9.06	1	42.27	1.65	1	28.35	7.54	1	1.33E+00	3.26E-01	1	1.68E+00	2.90E-01	1	1209.1	98.7	1	683.4	61.7	1	274.4	26.8	390	217	96	10	7.4	5.9	32.8	26.7	19.5	92.5	55.1	17.5	-
65	292019	0	6640	3794	0	19.76	9	0.013	94.08	60.9	120	15.056	0.052	14.798	0.03	9.04	1	40.05	3.13	1	39.55	4.87	1	1.91E+00	4.76E-01	1	2.08E+00	4.26E-01	1	1396.9	111.6	1	756.5	64.5	1	335.9	43.1	498	278	125	11.1	8.4	6.6	37.1	30.3	22.2	104.7	56.4	36.3	-
66	186024	0	6651	3813	0	20.97	5	0.019	94.08	46.2	85	14.781	0.062	14.25	0.03	9.77	1	772.4	9.53	1	765.82	19.38	1	2.15E+01	1.15E+00	1	2.38E+01	1.25E+00	1	10585.4	63.4	1	4243.3	42.8	1	1441.3	26.8	378	210	93	18.3	11.4	7.2	32.3	26.3	19.2	51.3	31.8	17.3	-
67	268076	0	6706	3846	0	20.51	11	0.013	83.55	55.57	60	15.558	0.051	15.23	0.03	8.99	1	23.75	2.01	1	28.99	5.88	1	8.41E-01	1.81E-01	1	1.21E+00	2.79E-01	1	892.7	79.4	1	506.6	67.1	1	218.1	29.2	404	227	103	9.7	7.6	6	33.4	27.3	20.2	71.3	60.8	20.2	-
